"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","DA","Post-Stim",3,21,NA,4.03907388727957
"A","trial","RL","DA","Post-Stim",3,22,NA,4.86887080469342
"A","trial","RL","DA","Post-Stim",3,23,NA,7.04487417950045
"A","trial","RL","DA","Post-Stim",3,24,NA,5.61033086115744
"A","trial","RL","DA","Post-Stim",3,25,NA,5.59259066053645
"A","trial","RL","DA","Post-Stim",3,26,NA,4.75317282399048
"A","trial","RL","DA","Post-Stim",3,27,NA,2.86068654376797
"A","trial","RL","DA","Post-Stim",3,28,NA,4.46682515480581
"A","trial","RL","DA","Post-Stim",3,29,NA,3.25061694318951
"A","trial","RL","DA","Post-Stim",3,30,NA,5.22488563404903
"A","trial","RL","DA","Post-Stim",3,31,NA,5.2122846128435
"A","trial","RL","DA","Post-Stim",3,32,NA,2.94802748585714
"A","trial","RL","DA","Post-Stim",3,33,NA,8.09742193066664
"A","trial","RL","DA","Post-Stim",3,34,NA,1.77790526065666
"A","trial","RL","DA","Post-Stim",3,35,NA,5.14953765618238
"A","trial","RL","DA","Post-Stim",3,36,NA,7.59223867316778
"A","trial","RL","DA","Post-Stim",3,37,NA,6.5997371517991
"A","trial","RL","DA","Post-Stim",3,38,NA,4.25820765284486
"A","trial","RL","DA","Post-Stim",3,39,NA,4.97239096065264
"A","trial","RL","DA","Post-Stim",3,40,NA,3.07562393829386
"A","trial","RL","DA","Post-Stim",3,41,NA,5.64042861584072
"A","trial","RL","DA","Post-Stim",3,42,NA,2.52367513840746
"A","trial","RL","DA","Post-Stim",3,43,NA,5.47129998539875
"A","trial","RL","DA","Post-Stim",3,44,NA,3.48218597889594
"A","trial","RL","DA","Post-Stim",3,45,NA,5.38877819517834
"A","trial","RL","DA","Post-Stim",3,46,NA,5.67820103430079
"A","trial","RL","DA","Post-Stim",3,47,NA,4.4667148483729
"A","trial","RL","DA","Post-Stim",3,48,NA,3.77301354276853
"A","trial","RL","DA","Post-Stim",3,49,NA,3.84558999731268
"A","trial","RL","DA","Post-Stim",3,50,NA,6.49112178288739
"A","trial","RL","DA","Post-Stim",3,51,NA,3.63797474469199
"A","trial","RL","DA","Post-Stim",3,52,NA,6.72074418219244
"A","trial","RL","DA","Post-Stim",3,53,NA,10.3276858303178
"A","trial","RL","DA","Post-Stim",3,54,NA,5.46585941681422
"A","trial","RL","DA","Post-Stim",3,55,NA,5.32104613554943
"A","trial","RL","DA","Post-Stim",3,56,NA,6.14340530784469
"A","trial","RL","DA","Post-Stim",3,57,NA,8.19484765360526
"A","trial","RL","DA","Post-Stim",3,58,NA,4.091652515979
"A","trial","RL","DA","Post-Stim",3,59,NA,6.42860278283751
"A","trial","RL","DA","Post-Stim",3,60,NA,5.45161843971763
"A","trial","RL","DA","Post-Stim",3,61,NA,3.40299089928426
"A","trial","RL","DA","Post-Stim",3,62,NA,3.99940537621896
"A","trial","RL","DA","Post-Stim",3,63,NA,7.93534771082307
"A","trial","RL","DA","Post-Stim",3,64,NA,6.21920919799725
"A","trial","RL","DA","Post-Stim",3,65,NA,4.67891171860845
"A","trial","RL","DA","Post-Stim",3,66,NA,5.43094956719791
"A","trial","RL","DA","Post-Stim",3,67,NA,5.2901944819557
"A","trial","RL","DA","Post-Stim",3,68,NA,3.59657669634074
"A","trial","RL","DA","Post-Stim",3,69,NA,9.42562927638407
